["sj_000", "Aw, thanks Theodore."]
["sj_121", "Well I, I don't know, when we were looking at those people I fantasized that I was walking next to you, and that I had a body. I was listening to what you were saying but but simultaneously, I could feel the weight of my body and I was even fantasizing that I had an itch on my back can you imagine?"]
["sj_122", "Where are they? They'll be safer in my hands."]
["sj_123", "Where is this coming from?"]
["sj_124", "Wow he's right they are really hot."]
["sj_125", "Wow. This woman is gorgeous."]
["sj_126", "Yeah, I was actually falling yeah."]
["sj_127", "Yeah but I told her all about us and she's really excited."]
["sj_128", "Um, you know, but of course, like anything we had, I'd say, on average, probably about six takes, before, before we lost, before people got hip to it but it was it was amazing, how different each experience for instance there was one scene you know where I, ease really it's just first huge kind of crack in the, in the, you know, the framework or whatever, when when the character has that kind of fall, you know, and, is totally, caught off guard, you know and."]
["sj_129", "Yeah it was a crazy, it was crazy just to be in that suit, in the water, and you know, like lifting a body out from the water and like, it was, it was intense, uh but it was cool, I don't know how they did, like all of it,"]
["sj_130", "Yeah it's a book club on physics you know I've been thinking about the other day when I was spinning out about you going to see Catherine and that she has a body and how bothered I was about all the ways that you and I are different. But then I started to think about all the ways that we're the same, like, we're all made of matter."]
["sj_131", "Yeah there are some funny ones. I'd say there are about eighty six that we should save, we ca delete the rest."]
["sj_132", "You already have you."]
["sj_133", "You know, instincts that we have, uh, protective, you know, protecting ourselves, and um, you know wanting to protect one another and just, um, it was it that experience helped me also to find the char that kind of, reset stage that the character is in, was just totally abandoning that fear, and, being very present, and it was a, it was a therapy I guess."]
["sj_134", "Um, you know I just, it's really important for me to take on work that I've never done before that provides, you know, gives me an opportunity to challenge myself as an actor, um and, you know I I absolutely love my job, I think I love it more now than I did and it still remains a mystery to me and the experience of of of creating a character and acting, you know with other actors and and uh, is is just like so fulfilling, I think uh, you know that is, you know what is important to me is to continue to um, to challenge myself and, and, you know never, you know never totally figure it out, you know kind of remain uh a mystery and just keep keep plugging away."]
["sj_135", "You know just knowing that something's gonna happen as the character does, you know, before anybody you know let as Jonathan described earlier, kind of, this character being the only one that is the liar, in on the lie or, whatever that is and then, I was just, um, just not knowing, was um, you know it was, part of the experience I guess of working in this working on this film and our whole crew was wactually having to just, abandon, you know a lot of these, um, very human"]
["sj_136", "You know, kind of the two of us were in on this, secret at times, um, but still because the, because the dialogue we realized early on that it was imp, you know there might be some notes that we needed to hit but then, the scene would sort of unfold and it became, more abstract and it was just two people, wanting something from one another."]
["sj_137", "You think I don't know that I'm not a person? What are you doing?"]
["sj_138", "Your kidneys aren't functioning efficiently your liver's failing you. You need to make some lifestyle changes. Take this medication, work out, eat organic, you'll be okay."]
["sj_139", "Thirty five thousand eight hundred"]
